Rok;Miesiąc;Dzień;Temperatura;Wiatr
2021;1;1;-2.8;5.7
2021;1;2;-1.9;8.0
2021;1;3;-.5;8.0
2021;1;4;.3;8.0
2021;1;5;-.2;8.0
2021;1;6;-.5;8.0
2021;1;7;-.9;8.0
2021;1;8;-.8;7.7
2021;1;9;-.8;8.0
2021;1;10;-1.0;8.0
2021;1;11;-4.0;1.3
2021;1;12;-.9;8.0
2021;1;13;-.3;6.3
2021;1;14;-1.1;8.0
2021;1;15;-2.3;8.0
2021;1;16;-4.8;8.0
2021;1;17;-11.7;3.3
2021;1;18;-8.6;8.0
2021;1;19;-.2;8.0
2021;1;20;3.9;7.7
2021;1;21;5.3;6.0
2021;1;22;7.7;5.7
2021;1;23;3.8;8.0
2021;1;24;.9;6.7
2021;1;25;.3;8.0
2021;1;26;-.4;5.7
2021;1;27;-.1;6.7
2021;1;28;-.1;8.0
2021;1;29;-1.0;8.0
2021;1;30;.0;8.0
2021;1;31;-7.5;3.3
2021;2;1;-10.6;.7
2021;2;2;-.5;7.3
2021;2;3;5.9;8.0
2021;2;4;4.8;8.0
2021;2;5;.3;8.0
2021;2;6;-1.5;8.0
2021;2;7;-6.6;8.0
2021;2;8;-9.5;8.0
2021;2;9;-9.7;8.0
2021;2;10;-9.3;8.0
2021;2;11;-9.0;8.0
2021;2;12;-9.7;6.7
2021;2;13;-5.9;7.3
2021;2;14;-7.7;1.0
2021;2;15;-10.7;1.7
2021;2;16;-2.3;8.0
2021;2;17;2.6;8.0
2021;2;18;3.8;8.0
2021;2;19;4.4;3.7
2021;2;20;4.1;2.7
2021;2;21;4.6;1.3
2021;2;22;4.9;3.3
2021;2;23;7.0;2.7
2021;2;24;12.0;3.0
2021;2;25;10.0;.3
2021;2;26;7.7;3.3
2021;2;27;3.8;7.0
2021;2;28;3.8;3.0
2021;3;1;2.6;8.0
2021;3;2;4.5;1.0
2021;3;3;6.7;3.0
2021;3;4;4.6;8.0
2021;3;5;1.3;5.0
2021;3;6;-.1;1.0
2021;3;7;.8;5.3
2021;3;8;-.1;5.3
2021;3;9;-1.4;3.0
2021;3;10;-1.3;1.0
2021;3;11;2.3;8.0
2021;3;12;5.9;5.0
2021;3;13;6.8;7.7
2021;3;14;5.1;6.0
2021;3;15;4.0;5.7
