metraz_m2;pietro;rok_budowy;standard;odleglosc_km;cena_tys_pln
79;5;1990;5;4,8;963
45;9;2016;5;9,2;643
73;9;2009;3;9,2;847
62;3;2010;3;7,2;723
52;2;2007;3;13,2;573
98;7;1986;3;3,2;1056
75;4;2019;2;7,0;797
46;6;1993;4;3,5;645
57;6;2008;3;11,4;655
64;6;1996;5;8,5;781
103;6;2012;4;15,4;1074
59;2;2007;5;4,7;866
48;7;1990;4;10,5;587
63;10;1990;4;9,1;702
47;8;1991;3;12,7;513
44;1;1983;3;2,5;527
61;8;2002;5;1,5;934
81;3;1985;5;5,8;985
53;1;1992;4;14,0;551
91;8;2010;4;8,7;1066
106;9;2003;3;5,0;1154
41;9;2004;4;3,9;689
68;4;1982;4;5,5;826
71;3;1996;3;9,9;769
102;2;2012;4;10,7;957
89;5;2012;4;7,9;954
48;6;1987;3;11,6;506
86;10;2010;3;6,5;1008
72;9;2009;3;4,8;836
103;3;2000;4;12,4;1019
59;7;1989;3;6,7;684
51;2;1991;2;5,5;588
40;3;1993;4;6,6;564
52;1;2012;3;8,3;599
64;9;2016;4;8,0;761
77;0;2018;5;9,2;886
49;6;1983;3;8,7;543
110;7;1976;2;10,1;1035
87;1;2013;3;4,4;1060
73;5;2010;3;8,1;791
41;6;2004;3;7,4;556
53;10;2007;2;3,0;747
84;10;2021;3;7,2;1038
108;10;2005;5;10,7;1179
85;6;2002;4;8,6;958
101;9;2010;5;9,9;1124
86;1;2001;3;11,6;904
61;1;2001;2;2,5;709
96;10;2019;3;14,4;982
94;3;1997;4;6,0;1035
59;0;1999;2;8,1;621
85;6;2010;4;9,5;971
85;5;2006;5;3,7;1046
81;8;2015;3;13,3;820
46;10;1993;2;6,6;599
68;3;2019;3;13,7;688
82;7;2008;3;5,4;954
62;3;2010;3;11,0;694
59;2;2006;4;10,9;644
73;2;1994;3;11,0;762
81;0;2013;3;11,3;835
61;1;2016;3;15,1;545
49;9;2004;3;13,6;490
111;7;2011;3;3,1;1213
52;0;2007;4;4,7;655
90;5;2008;3;9,6;872
104;5;2008;3;2,8;1155
86;5;2013;3;6,7;1014
62;9;1999;2;5,5;768
59;9;1995;4;6,4;816
89;0;2007;4;3,5;1081
78;5;2010;2;8,8;799
101;4;2001;3;6,1;1092
62;0;1978;4;8,1;741
60;8;2010;3;3,3;848
90;4;2015;2;8,9;922
101;5;2007;3;10,6;1042
101;3;1975;4;12,1;920
65;4;1981;4;13,9;621
68;2;2016;2;2,6;775
49;10;2008;2;8,9;656
98;9;1989;5;7,9;1160
32;6;2018;4;5,8;540
56;9;2022;4;4,8;803
44;7;1986;3;6,3;606
43;5;2005;3;8,1;553
89;3;1987;5;11,4;926
75;1;1999;5;5,6;866
47;8;1992;4;1,7;684
68;9;1996;3;13,3;670
58;0;2015;3;7,0;719
48;10;2008;4;5,2;775
46;0;2011;4;6,0;665
98;3;2003;2;10,3;950
55;1;2002;3;6,1;636
71;1;2024;4;9,9;916
47;7;2006;5;5,8;686
51;8;2006;4;4,3;776
80;5;1997;4;6,0;914
116;7;2016;5;10,7;1255
69;4;2000;3;5,2;839
48;2;1995;3;6,0;616
84;5;1976;3;3,8;885
60;1;2002;4;7,7;727
69;4;1991;3;9,3;692
112;4;2005;3;8,4;1092
83;4;2007;4;4,4;983
57;1;2022;4;7,3;679
64;8;2018;4;6,8;774
72;1;2000;3;3,5;813
97;9;2018;3;5,2;1090
50;4;2004;3;2,5;695
77;4;1973;2;4,9;758
49;10;1992;2;13,3;551
44;7;2000;4;7,9;587
46;2;1985;4;5,5;615
46;5;2008;3;4,8;677
75;4;2016;5;7,2;948
118;8;2011;2;5,6;1209
40;4;2011;4;2,5;702
