metraz_m2;pietro;rok_budowy;standard;odleglosc_km;cena_tys_pln
80;6;2012;3;4,1;667
53;4;1972;4;8,1;404
54;3;1993;3;3,7;461
92;4;1986;3;4,9;727
63;0;2009;4;8,5;493
49;4;2008;4;4,0;527
72;4;2001;5;4,1;638
55;1;1992;3;9,7;372
85;6;1975;3;13,1;459
50;0;2003;3;9,0;383
122;8;2010;4;9,7;1171
63;0;2011;5;12,9;420
64;8;2002;2;10,8;370
94;6;1979;3;12,6;591
71;7;1988;2;10,0;433
46;5;2005;2;4,2;450
81;4;2012;4;12,2;531
59;3;1991;4;8,9;433
87;4;2013;2;8,7;617
73;4;2013;4;6,4;634
58;0;2018;5;6,7;552
86;9;2012;3;14,7;494
78;4;1984;5;8,9;607
97;10;2019;5;9,2;887
79;2;1994;3;11,4;468
49;10;1987;3;5,6;447
52;1;2013;4;6,8;510
53;10;1984;4;4,8;511
51;0;2012;3;4,7;491
59;1;1989;3;5,5;509
32;0;2006;4;8,4;426
69;5;1981;3;8,1;441
82;7;2009;3;11,7;509
111;10;2005;2;11,0;870
68;9;1975;3;5,3;488
35;2;2005;2;4,6;434
37;5;1996;2;5,4;392
92;3;2002;3;4,6;746
80;7;2013;2;1,4;620
66;7;2014;5;10,7;538
91;4;2000;4;6,2;772
42;9;2012;2;8,7;363
102;9;2020;4;8,7;917
48;10;2008;3;5,7;475
67;1;2018;3;7,9;511
53;6;2009;4;10,6;414
83;7;1999;3;5,6;651
62;3;2008;3;4,6;520
75;0;1990;5;5,0;635
79;2;2008;2;2,6;624
105;2;2001;3;8,7;867
80;2;2005;3;5,3;651
80;4;1999;4;5,9;662
55;3;2018;5;4,3;600
55;8;2011;4;8,1;474
40;3;1993;4;8,6;394
71;1;2019;3;6,2;536
69;7;2012;2;11,4;398
74;6;1990;3;6,4;524
87;4;2008;3;6,5;674
69;1;1981;3;12,6;374
75;7;2004;3;2,8;627
96;10;2010;3;5,2;843
67;3;2008;3;8,1;474
52;0;2001;2;5,8;444
82;2;2011;4;9,8;570
84;0;2022;3;1,6;745
100;9;2018;4;1,7;970
62;3;1980;3;9,4;387
47;3;1999;2;10,6;325
62;1;2008;4;3,1;589
42;7;1990;3;11,4;337
59;2;1997;3;3,5;505
56;8;2004;4;3,7;590
78;5;2003;3;14,6;446
60;7;1995;3;12,9;318
74;3;1998;4;11,9;486
42;8;2021;3;12,2;320
49;3;2022;3;2,7;561
81;3;1996;4;10,1;579
53;9;1995;3;4,0;473
91;0;2002;4;6,1;753
59;5;2004;3;7,2;448
82;3;2002;3;8,9;575
74;4;1993;5;2,8;690
95;0;2015;3;7,4;734
86;1;2006;4;12,4;575
85;3;1992;3;4,7;663
39;3;1988;5;7,9;444
120;7;1985;4;4,9;1192
71;2;1980;3;4,4;511
74;1;2004;4;5,1;590
54;1;1995;3;6,7;442
91;4;1971;5;8,1;722
94;10;1991;5;8,3;801
53;0;2007;4;4,4;521
50;2;1984;4;8,0;430
102;4;2011;3;8,9;869
83;3;2015;4;4,3;740
89;3;1996;3;3,2;719
95;5;1993;3;8,8;745
45;9;1991;4;5,1;496
95;8;2007;4;3,3;874
106;10;1991;4;10,5;848
53;10;1999;2;11,6;341
107;2;2022;3;5,7;965
50;6;1987;3;10,9;301
50;10;1997;3;5,8;470
82;10;2015;4;9,2;651
60;1;2003;5;7,9;551
92;5;1985;3;10,9;610
61;8;1981;4;15,7;298
61;6;2001;3;13,4;335
40;1;2013;4;8,9;444
60;8;2020;3;2,8;572
85;5;2001;5;5,2;773
82;10;2006;3;10,9;578
63;2;1999;3;5,6;514
91;10;2006;3;6,2;743
49;6;2017;4;12,5;391
95;8;2018;3;6,1;816
63;8;2001;5;7,5;549
81;9;1986;3;3,4;619
120;8;1997;3;6,6;1135
41;3;2010;2;6,9;372
72;9;1999;5;12,9;471
71;8;2009;2;5,5;559
35;6;2012;5;4,6;583
90;10;1976;4;14,3;570
96;1;2005;3;4,2;791
99;5;2008;3;10,5;733
74;10;1982;4;3,2;621
58;7;2010;2;3,2;521
69;8;2013;5;2,9;695
46;5;2016;5;6,8;523
35;8;2013;3;10,2;378
69;8;1984;3;8,5;464
100;8;2013;4;3,4;988
72;2;2017;3;3,4;602
44;8;2001;4;10,2;390
55;1;2009;3;4,3;475
59;1;2012;3;5,6;479
52;0;1998;4;6,5;463
97;1;2012;3;4,3;828
76;0;1985;3;11,5;426
118;2;2001;4;6,7;1159
56;5;1999;4;5,5;517
81;6;2005;4;3,9;704
65;10;2014;4;4,0;618
46;10;2009;5;15,8;320
68;0;2014;3;4,9;564
54;2;2003;3;11,6;362
81;10;2013;2;5,5;634
96;8;2005;3;3,6;846
55;2;1972;5;9,1;384
99;5;2013;4;8,4;842
63;0;2021;4;10,5;474
72;1;1999;4;8,2;535
59;1;1995;3;7,4;450
44;9;1990;5;4,3;554
105;7;2015;2;4,2;949
55;4;2008;3;9,6;401
99;4;2010;3;8,5;791
65;2;2013;2;6,9;462
47;0;1995;4;7,6;463
67;7;2013;3;5,2;555
63;1;2012;3;5,7;507
78;6;2011;4;3,7;696
79;10;2019;4;7,7;669
119;1;2000;3;10,5;1031
47;3;1982;3;6,0;396
105;9;2001;3;5,7;950
71;8;2015;3;11,5;406
37;2;2014;3;7,4;426
88;6;1993;3;5,0;700
71;1;2010;4;10,9;468
57;9;1987;3;13,9;323
86;9;2005;4;14,6;544
86;10;1992;4;3,5;762
54;1;2006;4;10,4;426
59;7;2022;3;5,2;537
97;2;2005;3;7,4;765
94;5;2013;3;7,3;796
76;2;1996;4;1,7;671
55;9;2008;2;1,0;505
66;4;2001;2;6,6;458
61;1;2016;3;5,6;501
72;6;2011;4;10,0;531
70;8;2015;2;10,7;444
91;7;1996;4;7,4;739
29;2;1991;2;6,5;378
67;8;2002;5;10,1;519
79;1;2005;2;11,7;442
114;2;2013;4;7,0;1078
75;10;1979;3;15,7;340
68;9;1996;3;2,9;569
82;3;2015;2;4,5;679
54;6;1983;3;10,0;365
98;3;2009;4;9,3;790
79;2;2016;3;11,4;525
63;8;1979;3;9,7;417
30;0;2005;5;10,2;432
46;6;2002;4;7,6;469
89;7;1996;4;3,4;764
50;0;1999;3;10,0;351
83;1;1999;3;5,1;659
57;3;1979;4;7,3;429
61;2;2005;3;10,5;380
50;10;2000;3;8,9;401
79;5;1993;3;8,7;552
60;6;1999;4;2,9;565
32;8;2017;3;9,1;437
75;9;2000;2;9,7;478
52;4;2011;2;3,8;441
107;1;2019;2;12,3;795
41;1;1984;3;2,1;459
49;0;2003;4;4,2;493
75;9;2002;4;14,4;435
59;0;1983;2;9,6;342
97;2;2009;4;8,3;797
48;8;2014;5;8,0;484
80;2;2015;3;2,3;657
82;7;2008;4;11,0;580
70;3;2008;3;3,9;556
99;5;2006;4;8,4;841
49;6;2000;5;11,8;412
95;5;2014;5;11,9;731
70;1;2019;4;4,9;604
71;2;2004;4;13,0;424
49;4;1990;5;3,0;512
108;4;1995;3;5,0;971
73;0;1997;3;6,1;555
46;7;2013;4;5,5;544
53;10;2007;3;3,3;504
62;9;1994;3;3,8;540
83;7;1971;3;4,4;616
75;9;2008;3;1,5;675
76;9;2011;3;11,2;509
66;6;2006;4;6,0;546
33;10;2004;3;6,2;468
117;8;1984;3;6,6;1067
98;0;2002;4;5,5;836
79;8;1994;4;10,9;521
65;5;2009;5;5,2;606
47;9;2005;3;15,5;280
74;4;2008;2;8,2;495
72;9;1985;3;4,4;543
38;0;2014;4;10,9;371
62;10;1989;3;13,3;343
109;2;1980;3;9,2;912
32;8;2016;3;10,3;408
73;9;2003;2;12,5;396
72;1;2000;2;4,5;521
91;0;2005;2;4,8;698
58;6;2010;2;12,2;305
36;4;1997;4;3,8;495
66;6;1983;3;3,0;537
72;10;1985;4;6,1;580
89;0;2008;5;4,2;789
83;5;2012;3;6,3;630
