id_samochodu;masa_kg;moc_km;opory_aero;spalanie_l100
1;1124;92;0.28;5.93
1;1188;108;0.29;6.41
1;1342;115;0.31;7.02
1;1475;138;0.33;7.89
1;1590;145;0.34;8.37
2;1712;162;0.36;9.18
2;1825;175;0.37;9,77
2;1940;198;0.39;10.92
2;2015;220;0.40;11,48
2;1260;100;0.27;6.18
3;1385;122;0.30;7.11
3;1520;140;0.32;7.96
3;1655;155;0.34;8.62
3;1780;170;0.36;9.41
3;1895;190;0.38;10.22
4;1135;95;0.28;5.99
4;1210;110;0.29;6.52
4;1330;118;0.31;7.08
4;1450;135;0.32;7,72
4;1580;150;0.34;8.44
5;1695;160;0.35;8.97
5;1810;178;0.37;9.83
5;1920;200;0.39;10,78
5;2030;215;0.40;11.32
5;1105;90;0.27;5,74
6;1190;105;0.28;6.29
6;1315;120;0.30;6.98
6;1440;132;0.31;7.55
6;1565;148;0.33;8.29
6;1680;158;0.35;8.91
7;1795;172;0.36;9.52
7;1910;195;0.38;10.55
7;2025;210;0.40;11.21
7;1150;98;0.28;6.12
7;1235;112;0.29;6.66
8;1360;125;0.31;7.29
8;1490;140;0.32;7.88
8;1610;152;0.34;8.47
8;1730;165;0.35;9.03
8;1850;182;0.37;9.92
9;1970;205;0.39;10.89
9;2080;225;0.41;11.67
9;1115;94;0.27;5.87
9;1200;108;0.29;6,48
9;1320;119;0.30;7.03
10;1455;136;0.32;7,79
10;1575;149;0.33;8.33
10;1700;161;0.35;8.98
10;1820;176;0.36;9.64
10;1945;198;0.38;10,72
11;2055;218;0.40;11.44
11;1090;88;0.26;5.61
11;1175;102;0.28;6.18
11;1295;115;0.30;6.84
11;1420;130;0.31;7.46
12;1545;145;0.33;8.12
12;1670;160;0.35;8.86
12;1790;175;0.36;9,48
12;1915;192;0.38;10.41
12;2040;210;0.40;11.19
13;1130;96;0.27;6.01
13;1220;111;0.29;6.63
13;1345;123;0.30;7.21
13;1470;138;0.32;7.92
13;1595;153;0.34;8.58
14;1720;166;0.35;9.11
14;1845;180;0.37;9.84
14;1975;203;0.39;10.92
14;2090;222;0.41;11,72
14;1100;90;0.27;5,78
15;1185;105;0.28;6.33
15;1310;118;0.30;6.97
15;1435;133;0.31;7.62
15;1560;147;0.33;8.28
15;1685;159;0.35;8.94
16;1810;174;0.36;9.62
16;1935;197;0.38;10.68
16;2060;215;0.40;11.39
16;1140;97;0.28;6.15
16;1230;113;0.29;6,71
17;1355;126;0.31;7.36
17;1480;141;0.32;7.98
17;1605;155;0.34;8.63
17;1735;168;0.35;9.21
17;1860;185;0.37;10.03
18;1985;207;0.39;11.01
18;2105;225;0.41;11,78
18;1120;93;0.27;5.92
18;1215;109;0.29;6.55
18;1335;121;0.30;7.14
19;1460;137;0.32;7.83
19;1585;151;0.34;8.51
19;1710;164;0.35;9.07
19;1835;179;0.37;9,79
19;1960;201;0.39;10.82
20;2085;220;0.41;11.63
20;1124;92;0.28;5.93
20;1188;108;0.29;6.41
20;1342;115;0.31;7.02
20;1475;138;0.33;7.89
21;1590;145;0.34;8.37
21;1712;162;0.36;9.18
21;1825;175;0.37;9,77
21;1940;198;0.39;10.92
21;2015;220;0.40;11,48
22;1260;100;0.27;6.18
22;1385;122;0.30;7.11
22;1520;140;0.32;7.96
22;1655;155;0.34;8.62
22;1780;170;0.36;9.41
23;1895;190;0.38;10.22
23;1135;95;0.28;5.99
23;1210;110;0.29;6.52
23;1330;118;0.31;7.08
23;1450;135;0.32;7,72
24;1580;150;0.34;8.44
24;1695;160;0.35;8.97
24;1810;178;0.37;9.83
24;1920;200;0.39;10,78
24;2030;215;0.40;11.32
25;1105;90;0.27;5,74
25;1190;105;0.28;6.29
25;1315;120;0.30;6.98
25;1440;132;0.31;7.55
25;1565;148;0.33;8.29
26;1680;158;0.35;8.91
26;1795;172;0.36;9.52
26;1910;195;0.38;10.55
26;2025;210;0.40;11.21
26;1150;98;0.28;6.12
27;1235;112;0.29;6.66
27;1360;125;0.31;7.29
27;1490;140;0.32;7.88
27;1610;152;0.34;8.47
27;1730;165;0.35;9.03
28;1850;182;0.37;9.92
28;1970;205;0.39;10.89
28;2080;225;0.41;11.67
28;1115;94;0.27;5.87
28;1200;108;0.29;6,48
29;1320;119;0.30;7.03
29;1455;136;0.32;7,79
29;1575;149;0.33;8.33
29;1700;161;0.35;8.98
29;1820;176;0.36;9.64
30;1945;198;0.38;10,72
30;2055;218;0.40;11.44
30;1090;88;0.26;5.61
30;1175;102;0.28;6.18
30;1295;115;0.30;6.84
