metraz_m2,pokoje,pietro,odleglosc_km,rok_budowy,standard,cena_tys_pln
38,2,1,7.8,1980,2,462
42,2,3,6.9,1987,2,498
45,2,2,5.3,1995,3,551
47,2,4,4.8,1998,3,575
50,2,5,4.2,2003,3,604
52,3,2,6.5,1992,3,596
55,3,3,5.8,2001,3,633
58,3,1,4.7,2005,4,706
60,3,4,3.9,2008,4,741
62,3,6,3.5,2010,4,769
65,3,2,2.8,2012,4,812
68,3,7,2.2,2015,5,892
70,3,5,2.0,2017,5,923
72,4,3,3.1,2011,4,861
75,4,4,2.6,2016,5,956
78,4,8,1.9,2019,5,1032
80,4,5,3.8,2009,4,874
82,4,6,2.4,2018,5,1058
85,4,2,4.6,2004,4,838
88,4,7,2.7,2014,5,1014
90,4,9,1.8,2020,5,1118
92,5,3,3.4,2013,4,980
95,5,5,2.5,2018,5,1104
98,5,6,2.1,2019,5,1152
100,5,8,1.6,2021,5,1236
102,5,4,3.7,2012,4,1006
105,5,10,1.4,2022,5,1308
108,5,7,2.8,2017,5,1163
110,5,11,1.2,2023,5,1384
58,2,2,8.1,1985,2,543
63,3,1,7.2,1990,2,603
67,3,4,6.1,1999,3,674
73,3,5,5.0,2006,3,756
77,4,3,4.4,2007,4,804
83,4,6,3.2,2010,4,909
87,4,8,2.9,2015,5,992
93,5,4,3.0,2016,4,1032
97,5,9,2.2,2020,5,1177
101,5,6,2.6,2019,5,1193
106,5,10,1.5,2021,5,1336
